id sire dam sibgroup YC
2002NOS1CBN000G1P214925 1998NOS1CBN0000G0P2M104 1998NOS1CBN0000G0P2F208 S1CBN 2002
2002NOS1CBN000G1P215063 1998NOS1CBN00000G0P2M88 1998NOS1CBN0000G0P2F173 S1CBN 2002
2002NOS1CBN000G1P215418 1998NOS1CBN00000G0P2M89 1998NOS1CBN0000G0P2F189 S1CBN 2002
2002NOS1CBN000G1P215677 1998NOS1CBN0000G0P2M118 1998NOS1CBN0000G0P2F168 S1CBN 2002
2002NOS1CBN000G1P215879 1998NOS1CBN00000G0P2M82 1998NOS1CBN00000G0P2F90 S1CBN 2002
2002NOS1CBN000G1P216360 1998NOS1CBN00000G0P2M88 1998NOS1CBN0000G0P2F173 S1CBN 2002
2002NOS1CBN000G1P216550 1998NOS1CBN0000G0P2M139 1998NOS1CBN0000G0P2F264 S1CBN 2002
2002NOS1CBN000G1P216896 0 0 S1CBN 2002
2002NOS1CBN000G1P216989 1998NOS1CBN00000G0P2M48 1998NOS1CBN0000G0P2F137 S1CBN 2002
2002NOS1CBN000G1P217112 1998NOS1CBN00000G0P2M53 1998NOS1CBN00000G0P2F80 S1CBN 2002
2002NOS1CBN000G1P217245 1998NOS1CBN00000G0P2M89 1998NOS1CBN0000G0P2F189 S1CBN 2002
2002NOS1CBN000G1P218393 1998NOS1CBN00000G0P2M29 1998NOS1CBN00000G0P2F28 S1CBN 2002
2002NOS1CBN000G1P218433 1998NOS1CBN00000G0P2M13 1998NOS1CBN00000G0P2F52 S1CBN 2002
2002NOS1CBN000G1P218535 1998NOS1CBN0000G0P2M139 1998NOS1CBN0000G0P2F264 S1CBN 2002
2002NOS1CBN000G1P218623 1998NOS1CBN00000G0P2M13 1998NOS1CBN00000G0P2F52 S1CBN 2002
2002NOS1CBN000G1P218677 1998NOS1CBN00000G0P2M66 1998NOS1CBN0000G0P2F130 S1CBN 2002
2002NOS1CBN000G1P219368 1998NOS1CBN0000G0P2M104 1998NOS1CBN0000G0P2F156 S1CBN 2002
2002NOS1CBN000G1P219606 1998NOS1CBN0000G0P2M124 1998NOS1CBN0000G0P2F259 S1CBN 2002
2002NOS1CBN000G1P219743 0 0 S1CBN 2002
2002NOS1CBN000G1P220565 1998NOS1CBN0000G0P2M118 1998NOS1CBN0000G0P2F168 S1CBN 2002
2002NOS1CBN000G1P220767 1998NOS1CBN00000G0P2M82 1998NOS1CBN00000G0P2F90 S1CBN 2002
2002NOS1CBN000G1P2BLAA8 1998NOS1CBN00000G0P2M56 1998NOS1CBN0000G0P2F145 S1CBN 2002
2002NOS1CBN000G1P2BLAA9 1998NOS1CBN00000G0P2M11 1998NOS1CBN00000G0P2F38 S1CBN 2002
2002NOS1CBN000G1P2GUL13 1998NOS1CBN0000G0P2M109 1998NOS1CBN0000G0P2F167 S1CBN 2002
2002NOS1CBN000G1P2GUL20 1998NOS1CBN0000G0P2M103 1998NOS1CBN0000G0P2F214 S1CBN 2002
2002NOS1CBN000G1P2GUL27 1998NOS1CBN0000G0P2M105 1998NOS1CBN0000G0P2F171 S1CBN 2002
2002NOS1CBN000G1P2GUL28 1998NOS1CBN0000G0P2M105 1998NOS1CBN0000G0P2F171 S1CBN 2002
2002NOS1CBN000G1P2KVIT3 1998NOS1CBN00000G0P2M58 1998NOS1CBN0000G0P2F123 S1CBN 2002
2002NOS1CBN000G1P2RAUD2 1998NOS1CBN00000G0P2M11 1998NOS1CBN00000G0P2F59 S1CBN 2002
2002NOS1CBN000G1P2RAUD4 1998NOS1CBN00000G0P2M14 1998NOS1CBN00000G0P2F40 S1CBN 2002
2002NOS1CBN000G1P2RAUD5 1998NOS1CBN0000G0P2M124 1998NOS1CBN0000G0P2F259 S1CBN 2002
2002NOS1CBN000G1P2RAUD7 1998NOS1CBN00000G0P2M29 1998NOS1CBN00000G0P2F28 S1CBN 2002
2002NOS1CBN00G1P2BLAA41 1998NOS1CBN0000G0P2M104 1998NOS1CBN0000G0P2F208 S1CBN 2002
2002NOS1CBN00G1P2BLAA42 1998NOS1CBN0000G0P2M106 1998NOS1CBN0000G0P2F183 S1CBN 2002
2002NOS1CBN00G1P2KVIT16 1998NOS1CBN00000G0P2M88 1998NOS1CBN0000G0P2F173 S1CBN 2002
2002NOS1CBN00G1P2KVIT18 1998NOS1CBN00000G0P2M53 1998NOS1CBN0000G0P2F138 S1CBN 2002
2002NOS1CBN00G1P2KVIT24 1998NOS1CBN00000G0P2M61 1998NOS1CBN0000G0P2F128 S1CBN 2002
2002NOS1CBN00G1P2KVIT33 1998NOS1CBN0000G0P2M109 1998NOS1CBN0000G0P2F167 S1CBN 2002
2002NOS1CBN00G1P2RAUD19 1998NOS1CBN00000G0P2M57 1998NOS1CBN0000G0P2F129 S1CBN 2002
2002NOS1CBN00G1P2RAUD43 1998NOS1CBN00000G0P2M57 1998NOS1CBN00000G0P2F82 S1CBN 2002
2002NOS1CBN0G1P2GROENN2 1998NOS1CBN0000G0P2M104 1998NOS1CBN0000G0P2F208 S1CBN 2002
2002NOS1CBN0G1P2LILLA11 1998NOS1CBN000000G0P2M2 1998NOS1CBN00000G0P2F62 S1CBN 2002
2002NOS1CBN0G1P2LILLA34 1998NOS1CBN0000G0P2M124 1998NOS1CBN0000G0P2F233 S1CBN 2002
2002NOS1CBN0G1P2LILLA35 1998NOS1CBN00000G0P2M89 1998NOS1CBN0000G0P2F189 S1CBN 2002
2002NOS1CBN0G1P2LILLA38 1998NOS1CBN0000G0P2M105 1998NOS1CBN0000G0P2F207 S1CBN 2002
2002NOS1CBNG1P2GROENN13 1998NOS1CBN00000G0P2M53 1998NOS1CBN0000G0P2F138 S1CBN 2002
2002NOS1CBNG1P2GROENN20 1998NOS1CBN0000G0P2M108 1998NOS1CBN0000G0P2F205 S1CBN 2002
2002NOS1CBNG1P2GROENN27 1998NOS1CBN0000G0P2M119 1998NOS1CBN0000G0P2F163 S1CBN 2002
2002NOS1CBNG1P2GROENN41 1998NOS1CBN00000G0P2M91 1998NOS1CBN0000G0P2F182 S1CBN 2002
2002NOS1CBNG1P2GROENN45 1998NOS1CBN0000G0P2M105 1998NOS1CBN0000G0P2F207 S1CBN 2002
2002NOS1CBNG1P2ORANGE12 1998NOS1CBN00000G0P2M58 1998NOS1CBN0000G0P2F123 S1CBN 2002
2002NOS1CBNG1P2ORANGE16 1998NOS1CBN00000G0P2M29 1998NOS1CBN00000G0P2F28 S1CBN 2002
2002NOS1CBNG1P2ORANGE18 1998NOS1CBN00000G0P2M88 1998NOS1CBN0000G0P2F173 S1CBN 2002
2002NOS1CBNG1P2ORANGE21 1998NOS1CBN00000G0P2M35 1998NOS1CBN00000G0P2F47 S1CBN 2002
2002NOS1CBNG1P2ORANGE35 1998NOS1CBN0000G0P2M108 1998NOS1CBN0000G0P2F205 S1CBN 2002
2003NOS1CBN0G1P3FEM1394 1999NOS1CBN0000G0P3M3A3 1999NOS1CBN0000G0P3F1A1 S1CBN 2003
2003NOS1CBN0G1P3FEM2374 1999NOS1CBN0000G0P3M3C4 1999NOS1CBN0000G0P3F1D7 S1CBN 2003
2003NOS1CBN0G1P3FEM2619 1999NOS1CBN0000G0P3M3E3 1999NOS1CBN0000G0P3F1A4 S1CBN 2003
2003NOS1CBN0G1P3FEM2890 1999NOS1CBN000G0P3M15G3 1999NOS1CBN000G0P3F13H1 S1CBN 2003
2003NOS1CBN0G1P3FEM3267 1999NOS1CBN000G0P3M15F1 1999NOS1CBN000G0P3F13E1 S1CBN 2003
2003NOS1CBNG1P3MALE0069 1999NOS1CBN000G0P3M11F2 1999NOS1CBN0000G0P3F9F9 S1CBN 2003
2003NOS1CBNG1P3MALE0098 1999NOS1CBN0000G0P3M3E3 1999NOS1CBN0000G0P3F1A4 S1CBN 2003
2003NOS1CBNG1P3MALE0173 1999NOS1CBN000G0P3M15G3 1999NOS1CBN000G0P3F13H1 S1CBN 2003
2003NOS1CBNG1P3MALE0315 1999NOS1CBN0000G0P3M3A2 1999NOS1CBN0000G0P3F1A7 S1CBN 2003
2003NOS1CBNG1P3MALE0433 1999NOS1CBN0000G0P3M3A2 1999NOS1CBN0000G0P3F1A7 S1CBN 2003
2004NOS1CBN0000G1P40166 2000NOS1CBN0000G0P4M5D3 2000NOS1CBN0000G0P4F5F4 S1CBN 2004
2004NOS1CBN0000G1P40345 2000NOS1CBN000G0P4M1E10 2000NOS1CBN0000G0P4F1E2 S1CBN 2004
2004NOS1CBN0000G1P40380 2000NOS1CBN0000G0P4M7D8 2000NOS1CBN0000G0P4F7E2 S1CBN 2004
2004NOS1CBN0000G1P40622 2000NOS1CBN0000G0P4M7D8 2000NOS1CBN0000G0P4F7E2 S1CBN 2004
2004NOS1CBN0000G1P40986 2000NOS1CBN000G0P4M3D12 2000NOS1CBN0000G0P4F3A2 S1CBN 2004
2004NOS1CBN0000G1P41023 2000NOS1CBN0000G0P4M5B3 2000NOS1CBN0000G0P4F5E5 S1CBN 2004
2004NOS1CBN0000G1P41345 2000NOS1CBN000G0P4M1A10 2000NOS1CBN0000G0P4F1G1 S1CBN 2004
2004NOS1CBN0000G1P41394 2000NOS1CBN0000G0P4M7B1 2000NOS1CBN000G0P4F5C11 S1CBN 2004
2004NOS1CBN0000G1P41428 2000NOS1CBN000G0P4M1F10 2000NOS1CBN0000G0P4F1H8 S1CBN 2004
2004NOS1CBN0000G1P41469 2000NOS1CBN000G0P4M3F10 2000NOS1CBN0000G0P4F3F4 S1CBN 2004
2004NOS1CBN0000G1P41508 2000NOS1CBN0000G0P4M5H3 2000NOS1CBN0000G0P4F5H6 S1CBN 2004
2005NOS1CBN0000G2P10333 2001NOS1CBN000G1P1RAUD4 2001NOS1CBN000G1P119576 S1CBN 2005
2005NOS1CBN0000G2P10473 2001NOS1CBN00G1P1RAUD16 2001NOS1CBN000G1P112723 S1CBN 2005
2005NOS1CBN0000G2P10531 2001NOS1CBN0G1P1LILLA17 2001NOS1CBN000G1P113950 S1CBN 2005
2005NOS1CBN0000G2P10564 2001NOS1CBN0G1P1LILLA20 2001NOS1CBN000G1P115757 S1CBN 2005
2005NOS1CBN0000G2P10619 2001NOS1CBN00G1P1KVIT24 2001NOS1CBN000G1P112473 S1CBN 2005
2005NOS1CBN0000G2P10764 2001NOS1CBN00G1P1RAUD22 2001NOS1CBN000G1P113705 S1CBN 2005
2005NOS1CBN0000G2P10872 2001NOS1CBN00G1P1RAUD17 2001NOS1CBN000G1P115729 S1CBN 2005
2005NOS1CBN0000G2P11023 2001NOS1CBN00G1P1GRAA18 2001NOS1CBN000G1P117919 S1CBN 2005
2005NOS1CBN0000G2P11039 2001NOS1CBN00G1P1RAUD22 2001NOS1CBN000G1P113705 S1CBN 2005
2005NOS1CBN0000G2P11040 2001NOS1CBN000G1P1GRAA4 2001NOS1CBN000G1P117936 S1CBN 2005
2005NOS1CBN0000G2P11051 2001NOS1CBN000G1P1RAUD7 2001NOS1CBN000G1P112485 S1CBN 2005
2005NOS1CBN0000G2P11059 2001NOS1CBN00G1P1KVIT17 2001NOS1CBN000G1P119758 S1CBN 2005
2005NOS1CBN0000G2P11061 2001NOS1CBN000G1P1RAUD3 2001NOS1CBN000G1P120044 S1CBN 2005
2005NOS1CBN0000G2P11088 2001NOS1CBN0G1P1LILLA24 2001NOS1CBN000G1P117937 S1CBN 2005
2006NOS1CBN0000G2P20016 2002NOS1CBN0G1P2LILLA38 2002NOS1CBN000G1P216896 S1CBN 2006
2006NOS1CBN0000G2P20054 2002NOS1CBN0G1P2LILLA11 2002NOS1CBN000G1P217245 S1CBN 2006
